Restaurant Name,Cuisines,Latitude,Longitude,No. of Cuisines Offered,Rating,Aggregate Rating,City,Country Code,Address,Restaurant ID,Rating Text
Saffron Sky,Hot Chocolate,27.770975346890427,85.4617061630246,1,3.1,4.4,Kathmandu,1,"39, 39 Road, Riverfront",1160,Very Good
Monsoon Feast,"Snacks, Chinese, Cake",27.69473454257189,85.4676375236374,3,3.3,3.8,Kathmandu,1,"8, 8 Avenue, Park",7796,Good
Yakitori Zen,"Chinese, Italian",27.7123513595767,85.27491283396218,2,3.7,4.1,Kathmandu,1,"54, 54 Avenue, Shopping Mall",6906,Average
Himalayan Delight,"Mexican, Fast Food",27.679124869801285,85.39162588723946,2,4.7,4.0,Kathmandu,1,"45, 45 Street, Park",3655,Good
Himalayan Gourmet,"Steak, Nepali, Chili",27.669053694961757,85.48128053989471,3,3.7,3.7,Kathmandu,1,"72, 72 Lane, Riverfront",5565,Average
Everest Eats,"Fries, Nepali, Cake, Fast Food",27.537864947789625,85.4116867379943,4,3.7,4.0,Kathmandu,1,"65, 65 Road, Shopping Mall",3929,Very Good
Lotus Lounge,Indian,27.77925649160277,85.20709147431552,1,4.4,3.6,Kathmandu,1,"39, 39 Avenue, Nearby Temple",7570,Excellent
Yak & Yeti,Snacks,27.594573293313307,85.22265016909283,1,3.6,4.2,Kathmandu,1,"42, 42 Street, Shopping Mall",8752,Average
Kathmandu Kitchen,"Burger, Chips",27.688693499027217,85.3979181194627,2,4.0,4.7,Kathmandu,1,"24, 24 Lane, Nearby Temple",3456,Average
Lotus Blossom,"Italian, Sushi, Sel Roti",27.53863075662843,85.3036051726764,4,3.3,4.5,Kathmandu,1,"41, 41 Avenue, Nearby Temple",8264,Very Good
Koi Fusion,"Chocolate Cake, Chips, Cake, Takeout",27.5939346808269,85.33707524596701,4,4.1,4.0,Kathmandu,1,"15, 15 Lane, Nearby Temple",4295,Very Good
